Unnamed: 0,景区名称,地区,景区等级,经度BD,纬度BD,经度BD_wgs84,纬度BD_wgs84
7715,广州地铁博物馆,广州,3A,113.389457,23.10182803,113.38346859999999,23.099978710000002
7716,广东省凉茶博物馆,广州,3A,113.4115748,23.0425263,113.4056009,23.040629175
7717,广州博物馆,广州,3A,113.272097,23.14424102,113.26621564999999,23.142455195
7718,孙中山大元帅府纪念馆,广州,3A,113.285477,23.116075,113.2795955,23.1142427
7719,辛亥革命纪念馆,广州,3A,113.4268159,23.07824595,113.42081755,23.076423905
7720,广州艺术博物馆,广州,3A,113.2875559,23.14918799,113.2816747,23.147348425
7721,中国共产党第三次全国代表大会会址纪念馆,广州,3A,113.302221,23.12444,113.2963192,23.122649885
7722,广州市1978电影小镇,广州,3A,113.851991,23.302723,113.8462175,23.30113374
7723,毛泽东同志主办农民运动讲习所旧址纪念馆,广州,3A,113.2827589,23.13411117,113.2768826,23.132280555
7724,广州市丹水坑风景区,广州,2A,113.5299585,23.11231152,113.5241335,23.11052338
7725,深圳市华侨城旅游度假区,深圳,5A,113.99117,22.54440587,113.9854742,22.542745529999998
7726,深圳市观澜湖休闲度假区,深圳,5A,114.0850602,22.72865238,114.0792131,22.72707606
7727,深圳市仙湖植物园,深圳,4A,114.1820359,22.58221202,114.17626204999999,22.580764885
7728,深圳市西部海上田园旅游区,深圳,4A,113.781945,22.73484337,113.77613975,22.733147985000002
7729,深圳市观澜山水田园农庄景区,深圳,4A,114.1138168,22.7203852,114.10802095,22.71857509
7730,深圳市野生动物园,深圳,4A,113.977553,22.60210103,113.97183145,22.600562930000002
7731,深圳市青青世界旅游区,深圳,4A,113.9069272,22.50503383,113.9012612,22.503479145
7732,深圳东部华侨城旅游度假区,深圳,4A,113.99117,22.54440587,113.9854742,22.542745529999998
7733,深圳市光明农场大观园景区,深圳,4A,113.9671236,22.76641191,113.96140729999999,22.76496164
7734,水底山旅游度假区,深圳,4A,115.0112103,22.90463665,115.00557789999999,22.903133995
7735,深圳市“地王观光•深港之窗”景区,深圳,3A,114.1163659,22.54868578,114.11059685000001,22.5468818
7736,深圳市中丝园景区,深圳,3A,114.1550284,22.61086919,114.1492538,22.609215825
7737,深圳市园山风景区,深圳,3A,114.248066,22.64508799,114.24244039999999,22.643344745
7738,深圳市力嘉创意文化产业园,深圳,3A,114.2113425,22.64799331,114.2056441,22.646449054999998
7739,深圳市华强北步行街景区,深圳,3A,114.0939427,22.54803749,114.08813185,22.5464038
7740,深圳玫瑰海岸文化旅游度假区,深圳,3A,114.3812606,22.61525077,114.37555865,22.61347052
7741,珠海市圆明新园,珠海,4A,113.546665,22.24957603,113.54086570000001,22.247963325
7742,珠海市农科中心景区,珠海,4A,113.527222,22.30251101,113.5214244,22.30079718
7743,珠海罗西尼工业旅游景区,珠海,4A,113.5576673,22.39829271,113.55187280000001,22.396805565
7744,珠海市御温泉渡假村景区,珠海,4A,113.201135,22.25360498,113.19521345,22.252036345
7745,珠海市东澳岛旅游度假区,珠海,4A,113.71984,22.02533298,113.7140028,22.023847000000004
